Date,Open,High,Low,Close,Adj Close,Volume,dummy
2004.01.23 09:30:00,3.18,3.21,3.2,3.18,1939,102,3.19728571
2004.01.23 09:31:00,3.2,3.21,3.2,3.19,819,41,3.20071429
2004.01.23 09:32:00,3.2,3.2,3.2,3.19,1652,26,3.20314286
2004.01.23 09:33:00,3.2,3.2,3.19,3.19,406,26,3.19814286
2004.01.23 09:34:00,3.19,3.2,3.2,3.19,686,28,3.195
2004.01.23 09:35:00,3.2,3.2,3.2,3.19,1386,34,3.196
2004.01.23 09:36:00,3.19,3.2,3.19,3.19,749,23,3.19342857
2004.01.23 09:37:00,3.19,3.19,3.19,3.19,658,34,3.18785714
2004.01.23 09:38:00,3.19,3.19,3.19,3.19,2338,35,3.18942857
2004.01.23 09:39:00,3.19,3.2,3.19,3.19,945,34,3.19242857
2004.01.23 09:40:00,3.19,3.19,3.19,3.19,1078,32,3.18842857
2004.01.23 09:41:00,3.19,3.2,3.2,3.19,490,19,3.19185714
2004.01.23 09:42:00,3.2,3.2,3.2,3.19,1631,46,3.19728571
2004.01.23 09:43:00,3.2,3.21,3.21,3.2,1582,63,3.20871429
2004.01.23 09:44:00,3.21,3.21,3.21,3.2,567,22,3.20557143
2004.01.23 09:45:00,3.21,3.21,3.2,3.2,434,18,3.20642857
2004.01.23 09:46:00,3.21,3.22,3.22,3.21,2793,80,3.21314286
2004.01.23 09:47:00,3.22,3.22,3.22,3.21,1372,31,3.21871429
2004.01.23 09:48:00,3.22,3.22,3.22,3.21,616,34,3.21757143
2004.01.23 09:49:00,3.22,3.22,3.21,3.21,490,22,3.21642857
2004.01.23 09:50:00,3.21,3.21,3.21,3.21,448,17,3.20985714
2004.01.23 09:51:00,3.21,3.21,3.21,3.21,602,32,3.21228571
2004.01.23 09:52:00,3.21,3.21,3.21,3.2,784,39,3.20942857
2004.01.23 09:53:00,3.2,3.21,3.21,3.2,252,18,3.20771429
2004.01.23 09:54:00,3.2,3.21,3.21,3.2,1204,40,3.20842857
2004.01.23 09:55:00,3.21,3.21,3.21,3.21,1946,62,3.21014286
2004.01.23 09:56:00,3.21,3.21,3.21,3.21,1939,58,3.21028571
2004.01.23 09:57:00,3.2,3.21,3.2,3.2,882,45,3.20428571
2004.01.23 09:58:00,3.2,3.21,3.2,3.2,133,14,3.20242857
2004.01.23 09:59:00,3.2,3.2,3.2,3.2,357,20,3.20142857
2004.01.23 10:00:00,3.2,3.2,3.2,3.2,903,25,3.20014286
2004.01.23 10:01:00,3.2,3.2,3.2,3.2,133,15,3.20042857
2004.01.23 10:02:00,3.2,3.2,3.2,3.2,294,16,3.20057143
2004.01.23 10:03:00,3.2,3.2,3.2,3.2,798,29,3.20014286
2004.01.23 10:04:00,3.2,3.2,3.2,3.2,217,14,3.20214286
2004.01.23 10:05:00,3.2,3.21,3.21,3.2,399,29,3.20514286
2004.01.23 10:06:00,3.21,3.21,3.21,3.2,1722,51,3.20714286
2004.01.23 10:07:00,3.22,3.22,3.22,3.22,868,33,3.22014286
2004.01.23 10:08:00,3.22,3.22,3.22,3.22,1302,52,3.22128571
2004.01.23 10:09:00,3.22,3.23,3.22,3.22,2058,54,3.22214286
2004.01.23 10:10:00,3.22,3.23,3.23,3.22,735,39,3.22385714
2004.01.23 10:11:00,3.23,3.23,3.23,3.22,1316,48,3.22514286
2004.01.23 10:12:00,3.23,3.23,3.23,3.22,1267,29,3.226
2004.01.23 10:13:00,3.23,3.23,3.22,3.22,287,24,3.22628571
2004.01.23 10:14:00,3.22,3.22,3.22,3.22,231,12,3.22242857
2004.01.23 10:15:00,3.22,3.23,3.23,3.22,609,42,3.22385714
2004.01.23 10:16:00,3.22,3.23,3.23,3.22,217,12,3.226
2004.01.23 10:17:00,3.23,3.23,3.23,3.23,147,13,3.22814286
2004.01.23 10:18:00,3.23,3.23,3.23,3.23,1127,31,3.22842857
2004.01.23 10:19:00,3.23,3.23,3.22,3.22,560,35,3.22614286
2004.01.23 10:20:00,3.22,3.23,3.22,3.22,126,11,3.22514286
2004.01.23 10:21:00,3.22,3.23,3.23,3.22,525,38,3.22942857
2004.01.23 10:22:00,3.23,3.24,3.24,3.23,1526,52,3.23571429
2004.01.23 10:23:00,3.24,3.24,3.24,3.24,2800,68,3.24057143
2004.01.23 10:24:00,3.24,3.24,3.24,3.24,308,16,3.24
2004.01.23 10:25:00,3.24,3.24,3.23,3.23,833,36,3.23442857
2004.01.23 10:26:00,3.23,3.23,3.23,3.23,350,11,3.23157143
2004.01.23 10:27:00,3.23,3.23,3.23,3.23,245,15,3.23185714
2004.01.23 10:28:00,3.23,3.23,3.23,3.23,154,7,3.23285714
2004.01.23 10:29:00,3.23,3.23,3.23,3.23,224,19,3.23342857
2004.01.23 10:30:00,3.23,3.24,3.24,3.23,532,22,3.23514286
2004.01.23 10:31:00,3.24,3.24,3.24,3.24,189,14,3.237
2004.01.23 10:32:00,3.24,3.24,3.24,3.23,3045,58,3.24014286
2004.01.23 10:33:00,3.24,3.25,3.24,3.24,784,42,3.24314286
2004.01.23 10:34:00,3.24,3.24,3.24,3.24,476,19,3.24214286
2004.01.23 10:35:00,3.24,3.24,3.24,3.24,1169,49,3.24042857
2004.01.23 10:36:00,3.24,3.25,3.24,3.24,3094,29,3.243
2004.01.23 10:37:00,3.24,3.24,3.24,3.24,532,24,3.24285714
2004.01.23 10:38:00,3.24,3.25,3.25,3.24,812,33,3.24485714
2004.01.23 10:39:00,3.24,3.25,3.24,3.24,1967,34,3.24385714
2004.01.23 10:40:00,3.24,3.25,3.25,3.24,476,22,3.244
2004.01.23 10:41:00,3.24,3.24,3.24,3.24,182,11,3.24242857
2004.01.23 10:42:00,3.24,3.24,3.24,3.24,364,18,3.243
2004.01.23 10:43:00,3.24,3.24,3.24,3.24,210,11,3.24228571
2004.01.23 10:44:00,3.24,3.24,3.24,3.24,588,21,3.242
2004.01.23 10:45:00,3.24,3.24,3.24,3.24,1225,38,3.24228571
2004.01.23 10:46:00,3.24,3.24,3.24,3.24,175,7,3.23885714
2004.01.23 10:47:00,3.24,3.24,3.24,3.24,42,3,3.23814286
2004.01.23 10:48:00,3.24,3.24,3.23,3.23,392,23,3.23428571
2004.01.23 10:49:00,3.23,3.24,3.24,3.23,1778,28,3.23285714
2004.01.23 10:50:00,3.24,3.24,3.24,3.24,413,24,3.24142857
2004.01.23 10:51:00,3.24,3.24,3.23,3.23,532,39,3.23914286
2004.01.23 10:52:00,3.24,3.24,3.24,3.23,777,51,3.233
2004.01.23 10:53:00,3.24,3.24,3.23,3.23,1428,23,3.23557143
2004.01.23 10:54:00,3.23,3.23,3.23,3.23,112,4,3.23428571
2004.01.23 10:55:00,3.23,3.23,3.23,3.23,812,52,3.23114286
2004.01.23 10:56:00,3.22,3.23,3.23,3.22,294,14,3.22485714
2004.01.23 10:57:00,3.23,3.23,3.23,3.23,378,9,3.22714286
2004.01.23 10:58:00,3.23,3.23,3.23,3.23,980,26,3.22871429
2004.01.23 10:59:00,3.23,3.23,3.23,3.23,189,18,3.22871429
2004.01.23 11:00:00,3.23,3.23,3.22,3.22,938,24,3.22742857
2004.01.23 11:01:00,3.22,3.22,3.22,3.22,182,12,3.224
2004.01.23 11:02:00,3.22,3.23,3.22,3.22,196,14,3.22428571
2004.01.23 11:03:00,3.22,3.22,3.22,3.22,105,9,3.22314286
2004.01.23 11:04:00,3.22,3.22,3.22,3.22,0,0,3.22142857
2004.01.23 11:05:00,3.22,3.23,3.23,3.22,441,17,3.22385714
2004.01.23 11:06:00,3.23,3.23,3.23,3.23,98,6,3.227
2004.01.23 11:07:00,3.23,3.23,3.23,3.23,119,7,3.227
2004.01.23 11:08:00,3.23,3.23,3.23,3.23,7,1,3.22571429
2004.01.23 11:09:00,3.23,3.23,3.23,3.23,1757,9,3.22714286
2004.01.23 11:10:00,3.23,3.23,3.23,3.23,357,11,3.22714286
2004.01.23 11:11:00,3.23,3.23,3.23,3.23,819,22,3.22814286
2004.01.23 11:12:00,3.23,3.23,3.23,3.23,847,23,3.22857143
2004.01.23 11:13:00,3.23,3.23,3.23,3.23,126,10,3.22842857
2004.01.23 11:14:00,3.23,3.23,3.23,3.23,420,12,3.22842857
2004.01.23 11:15:00,3.23,3.23,3.23,3.23,84,7,3.22757143
2004.01.23 11:16:00,3.23,3.23,3.23,3.23,294,25,3.227
